brand,model
alfa-romeo,Alfa Romeo Stelvio
alfa-romeo,Alfa Romeo Giulia
alfa-romeo,Alfa Romeo Tonale
alfa-romeo,Alfa Romeo Giulietta
alfa-romeo,Alfa Romeo MiTo
alfa-romeo,Alfa Romeo 159
alfa-romeo,Alfa Romeo 147
alfa-romeo,Alfa Romeo Spider
alfa-romeo,Alfa Romeo GT
alfa-romeo,Alfa Romeo 156
alfa-romeo,Alfa Romeo Brera
alfa-romeo,Alfa Romeo
alfa-romeo,Alfa Romeo 4C
alfa-romeo,Alfa Romeo 166
alfa-romeo,Alfa Romeo GTV
alfa-romeo,Alfa Romeo Sportwagon
alfa-romeo,Alfa Romeo Alfa 6
alfa-romeo,Alfa Romeo 145
aston-martin,Aston Martin V8
aston-martin,Aston Martin DB9
aston-martin,Aston Martin DB7
aston-martin,Aston Martin Vantage
aston-martin,Aston Martin Vanquish
aston-martin,Aston Martin Rapide
audi,Audi A3
audi,Audi A4
audi,Audi A6
audi,Audi A5
audi,Audi A1
audi,Audi Q3
audi,Audi Q5
audi,Audi TT
audi,Audi Q2
audi,Audi Q7
audi,Audi A7
audi,Audi SQ5
audi,Audi A8
audi,Audi A6 allroad
audi,Audi S3
audi,Audi S5
audi,Audi A4 allroad
audi,Audi e-tron
audi,Audi RS3
audi,Audi S6
audi,Audi S4
audi,Audi TTS
audi,Audi SQ7
audi,Audi RS6
audi,Audi A2
audi,Audi RS5
audi,Audi Q8
audi,Audi RS4
audi,Audi TT RS
audi,Audi RS Q3
audi,Audi Q4 e-tron
audi,Audi S8
audi,Audi S7
audi,Audi R8
audi,Audi SQ2
audi,Audi RS7
audi,Audi S1
audi,Audi
audi,Audi Cabriolet
audi,Audi Allroad
audi,Audi Q8 e-tron
audi,Audi RS Q8
audi,Audi SQ8
audi,Audi 50
audi,Audi QUATTRO
audi,Audi 80
audi,Audi e-tron GT
bentley,Bentley Flying Spur
bentley,Bentley Continental GT
bentley,Bentley Continental
bentley,Bentley Arnage
bentley,Bentley Continental GTC
bentley,Bentley
bentley,Bentley Mulsanne
bmw,BMW 320
bmw,BMW X1
bmw,BMW 530
bmw,BMW 118
bmw,BMW 318
bmw,BMW 520
bmw,BMW X3
bmw,BMW 116
bmw,BMW 218
bmw,BMW 330
bmw,BMW X5
bmw,BMW 120
bmw,BMW 220
bmw,BMW 525
bmw,BMW Z4
bmw,BMW 325
bmw,BMW 420
bmw,BMW i3
bmw,BMW 316
bmw,BMW 430
bmw,BMW X2
bmw,BMW X4
bmw,BMW 535
bmw,BMW 540
bmw,BMW 335
bmw,BMW X6
bmw,BMW 550
bmw,BMW 730
bmw,BMW 225
bmw,BMW 523
bmw,BMW 640
bmw,BMW 440
bmw,BMW 435
bmw,BMW 750
bmw,BMW M4
bmw,BMW 740
bmw,BMW 216
bmw,BMW X5 M
bmw,BMW M2
bmw,BMW
bmw,BMW 135
bmw,BMW M3
bmw,BMW Z3
bmw,BMW 650
bmw,BMW M5
bmw,BMW 125
bmw,BMW X3 M
bmw,BMW 340
bmw,BMW 328
bmw,BMW X6 M
bmw,BMW M850
bmw,BMW M6
bmw,BMW 235
bmw,BMW X4 M
bmw,BMW 240
bmw,BMW 528
bmw,BMW i4
bmw,BMW 114
bmw,BMW 123
bmw,BMW 630
bmw,BMW 428
bmw,BMW 140
bmw,BMW 745
bmw,BMW Z4 M
bmw,BMW iX
bmw,BMW iX3
bmw,BMW 230
bmw,BMW 645
bmw,BMW X2 M
bmw,BMW 323
bmw,BMW 840
bmw,BMW iX1
bmw,BMW 635
bmw,BMW 418
bmw,BMW 760
bmw,BMW 425
bmw,BMW 518
bmw,BMW M550
bmw,BMW 545
bmw,BMW 228
bmw,BMW i8
bmw,BMW 223
bmw,BMW 1er M Coupé
bmw,BMW 735
bmw,BMW Z3 M
bmw,BMW 128
bmw,BMW X7
