brand,model,year,price_in_euro,power_ps,transmission_type,fuel_type,mileage_in_km
volvo,Volvo XC60,2019.0,44500.0,235.0,Automatic,Diesel,44900.0
seat,SEAT Leon,2018.0,17640.0,125.0,Manual,Petrol,59246.0
seat,SEAT Leon,2020.0,18260.0,131.0,Manual,Petrol,41761.0
alfa-romeo,Alfa Romeo Tonale,2022.0,40499.0,160.0,Automatic,Hybrid,5.0
hyundai,Hyundai iX20,2016.0,13690.0,125.0,Automatic,Petrol,62240.0
land-rover,Land Rover Range Rover,2018.0,29900.0,340.0,Automatic,Diesel,44800.0
nissan,Nissan Note,2007.0,4000.0,110.0,Manual,Petrol,119850.0
citroen,Citroen C5 Aircross,2020.0,29690.0,177.0,Automatic,Diesel,33000.0
opel,Opel Crossland,2022.0,24610.0,131.0,Automatic,Petrol,10.0
nissan,Nissan Juke,2013.0,11500.0,116.0,Manual,Petrol,142500.0
smart,smart forTwo,2009.0,6200.0,71.0,Automatic,Petrol,111982.0
ford,Ford Focus,2021.0,34990.0,280.0,Automatic,Petrol,27959.0
saab,Saab 9-3,2009.0,12993.0,209.0,Manual,Petrol,103100.0
land-rover,Land Rover Range Rover Evoque,2019.0,37990.0,179.0,Automatic,Diesel,37300.0
porsche,Porsche Boxster,2008.0,29900.0,295.0,Manual,Petrol,88000.0
porsche,Porsche Macan,2016.0,45990.0,400.0,Automatic,Petrol,121400.0
dodge,Dodge RAM,2019.0,59800.0,401.0,Automatic,LPG,105600.0
renault,Renault Megane,2012.0,7500.0,101.0,Manual,LPG,276000.0
mini,MINI Cooper S Countryman,2011.0,10999.0,184.0,Automatic,Petrol,205999.0
smart,smart forTwo,2020.0,15450.0,82.0,Automatic,Electric,8680.0
mini,MINI Cooper Countryman,2011.0,14000.0,122.0,Automatic,Petrol,68000.0
alfa-romeo,Alfa Romeo Giulietta,2011.0,8500.0,120.0,Manual,Petrol,134000.0
opel,Opel Corsa,2022.0,16990.0,75.0,Manual,Petrol,100.0
nissan,Nissan Primera,2004.0,719.0,140.0,Manual,Petrol,222800.0
smart,smart forFour,2018.0,13990.0,82.0,Automatic,Electric,18750.0
toyota,Toyota Aygo X,2020.0,11290.0,72.0,Manual,Petrol,17977.0
fiat,Fiat 500,2011.0,8500.0,69.0,Automatic,Petrol,69100.0
isuzu,Isuzu D-Max,2018.0,25990.0,163.0,Automatic,Diesel,123000.0
saab,Saab 9-3,2006.0,2800.0,150.0,Automatic,Petrol,257900.0
jaguar,Jaguar F-Type,2021.0,57988.0,300.0,Automatic,Petrol,15500.0
renault,Renault Twingo,2021.0,21990.0,82.0,Automatic,Electric,4700.0
nissan,Nissan,2011.0,3985.0,131.0,Manual,Diesel,92257.0
jeep,Jeep Renegade,2017.0,15990.0,110.0,Manual,Petrol,86000.0
skoda,Skoda Octavia,2017.0,15000.0,150.0,Automatic,Petrol,109916.0
mitsubishi,Mitsubishi Outlander,2019.0,28900.0,224.0,Automatic,Hybrid,25195.0
daihatsu,Daihatsu Cuore,2008.0,2490.0,58.0,Manual,Petrol,134000.0
honda,Honda Civic,2016.0,15950.0,141.0,Manual,Petrol,46379.0
hyundai,Hyundai iX35,2014.0,11800.0,116.0,Manual,Diesel,175000.0
smart,smart forTwo,2013.0,4900.0,61.0,Semi-automatic,Petrol,108500.0
porsche,Porsche Cayenne,2018.0,66900.0,340.0,Automatic,Petrol,68000.0
bmw,BMW 320,2000.0,9900.0,150.0,Automatic,Petrol,151000.0
volkswagen,Volkswagen T5 Transporter,2008.0,10999.0,102.0,Manual,Diesel,187284.0
ssangyong,SsangYong Korando,2023.0,37280.0,163.0,Automatic,Petrol,5.0
mercedes-benz,Mercedes-Benz 200,2006.0,7990.0,163.0,Manual,Petrol,100000.0
porsche,Porsche Cayenne,2015.0,46950.0,385.0,Automatic,Diesel,146452.0
jaguar,Jaguar I-Pace,2020.0,48900.0,400.0,Automatic,Electric,63200.0
chevrolet,Chevrolet Camaro,2019.0,24500.0,275.0,Automatic,Petrol,80000.0
hyundai,Hyundai i20,2012.0,6900.0,86.0,Manual,Petrol,60962.0
ssangyong,SsangYong Tivoli,2019.0,21000.0,116.0,Manual,Diesel,11974.0
daihatsu,Daihatsu Terios,2008.0,6899.0,105.0,Automatic,Petrol,150704.0
smart,smart forTwo,2014.0,8160.0,71.0,Automatic,Petrol,68667.0
opel,Opel Astra,2019.0,14500.0,136.0,Manual,Diesel,80400.0
mazda,Mazda 2,2023.0,18950.0,90.0,Manual,Petrol,5.0
jeep,Jeep Grand Cherokee,2018.0,43999.0,250.0,Automatic,Diesel,66000.0
kia,Kia Sportage,2016.0,20980.0,177.0,Automatic,Petrol,73384.0
fiat,Fiat 500C,2021.0,16490.0,69.0,Manual,Petrol,16321.0
nissan,Nissan Qashqai+2,2012.0,11999.0,141.0,Manual,Petrol,99962.0
fiat,Fiat 500,2023.0,21500.0,69.0,Manual,Petrol,3000.0
renault,Renault Clio,2001.0,1100.0,75.0,Manual,Petrol,243000.0
chevrolet,Chevrolet Camaro,2019.0,42999.0,461.0,Automatic,Petrol,93000.0
mercedes-benz,Mercedes-Benz A 150,2007.0,6500.0,95.0,Manual,Petrol,54785.0
chevrolet,Chevrolet Camaro,2020.0,40900.0,453.0,Automatic,Petrol,21000.0
maserati,Maserati Levante,2018.0,57999.0,430.0,Automatic,Petrol,75700.0
maserati,Maserati Quattroporte,2006.0,30399.0,400.0,Automatic,Petrol,63000.0
audi,Audi A6,2007.0,8490.0,179.0,Automatic,Diesel,194000.0
ssangyong,SsangYong REXTON,2016.0,19999.0,155.0,Manual,Diesel,57300.0
volvo,Volvo XC40,2022.0,38900.0,163.0,Automatic,Petrol,6000.0
renault,Renault Clio,2019.0,15999.0,101.0,Manual,Petrol,34000.0
volvo,Volvo XC60,2019.0,35880.0,190.0,Automatic,Diesel,71800.0
maserati,Maserati Levante,2020.0,67900.0,581.0,Automatic,Petrol,21208.0
porsche,Porsche Panamera,2013.0,57900.0,441.0,Automatic,Petrol,35452.0
nissan,Nissan Qashqai,2022.0,33990.0,140.0,Manual,Hybrid,1200.0
fiat,Fiat 500X,2015.0,14990.0,120.0,Manual,Diesel,117900.0
fiat,Fiat Doblo,2016.0,15490.0,120.0,Manual,Diesel,87100.0
porsche,Porsche 997,2005.0,35997.0,355.0,Manual,Petrol,229985.0
audi,Audi A4,2018.0,27500.0,190.0,Automatic,Diesel,75338.0
peugeot,Peugeot Rifter,2019.0,24999.0,110.0,Manual,Petrol,30500.0
ford,Ford Fiesta,2011.0,9490.0,82.0,Manual,Petrol,90900.0
opel,Opel Meriva,2011.0,5300.0,110.0,Manual,Diesel,173200.0
daihatsu,Daihatsu Cuore,2007.0,1450.0,69.0,Manual,Petrol,130000.0
alfa-romeo,Alfa Romeo Spider,2010.0,25700.0,200.0,Manual,Petrol,96500.0
daihatsu,Daihatsu Cuore,2010.0,1799.0,69.0,Manual,Petrol,107000.0
audi,Audi A6,2015.0,31500.0,360.0,Automatic,Diesel,149990.0
bmw,BMW X1,2017.0,25900.0,190.0,Automatic,Diesel,87227.0
ford,Ford Ka/Ka+,2014.0,6890.0,69.0,Manual,Petrol,65659.0
skoda,Skoda Scala,2021.0,22888.0,150.0,Manual,Petrol,22600.0
mercedes-benz,Mercedes-Benz GLK 250,2014.0,27500.0,204.0,Automatic,Diesel,185000.0
smart,smart forTwo,2014.0,13450.0,71.0,Automatic,Petrol,89150.0
mini,MINI Cooper D Countryman,2021.0,21980.0,150.0,Automatic,Diesel,42250.0
ssangyong,SsangYong Korando,2022.0,29380.0,163.0,Automatic,Petrol,2000.0
renault,Renault Captur,2023.0,27988.0,140.0,Automatic,Petrol,10.0
mercedes-benz,Mercedes-Benz A 180,2017.0,29950.0,109.0,Manual,Diesel,98000.0
mini,MINI John Cooper Works Cabrio,2020.0,33882.0,231.0,Manual,Petrol,22448.0
seat,SEAT Arona,2022.0,27250.0,150.0,Automatic,Petrol,20.0
volvo,Volvo V60,2019.0,31990.0,250.0,Automatic,Petrol,88706.0
opel,Opel Corsa,2022.0,17228.0,101.0,Manual,Petrol,28389.0
chevrolet,Chevrolet Captiva,2013.0,6000.0,184.0,Manual,Diesel,172000.0
